7.5845e+07,-4620,886,2268,1943,3913,7471,2369,6474,7025,-943
1.2099e+08,-7124,6229,3241,527,5596,4532,4368,5494,6962,1831
1.3652e+08,641,94,6903,386,219,1288,3113,2540,3529,4891
5.4526e+08,2789,2753,4840,6952,-6414,1746,6217,-5795,3224,3340
2.9518e+08,560,3272,1128,323,2735,1629,4061,4185,5132,-1503
1.5113e+08,2606,5010,-1292,1318,2707,3146,306,5683,1879,-1474
1.5163e+08,-2799,4708,1160,1472,3244,2180,3296,1241,105,860
4.724e+08,-330,345,2802,1172,2464,4749,5272,2182,2157,502
6.8231e+07,-991,1242,346,104,1149,-710,484,1528,405,1002
1.2411e+08,187,623,6509,1910,429,2079,3526,2000,3879,4705
4.971e+08,1188,2797,5664,4694,1485,4850,6210,867,3513,1587
0,-117,97,98,97,95,97,96,96,97,97
3.8231e+08,2568,246,1691,516,911,3331,262,2181,1071,3006
1.4809e+08,204,732,6305,336,2370,1403,2731,1902,4718,2864
1.5131e+08,1034,4983,-471,1366,2747,2412,2726,2361,1133,-458
1.3498e+08,233,2251,6333,554,1698,3281,2724,4675,2308,-4311
1.3652e+08,641,95,6903,386,219,1287,3113,2540,3529,4892
6.3082e+07,251,71,2226,232,172,1101,3057,742,1111,2822
9.9946e+07,536,3828,196,281,1193,2081,1705,1536,639,425
1.2939e+08,228,1807,6366,1202,1577,2849,3441,2193,2804,2753
1.3623e+08,539,57,5605,237,65,1265,1799,529,761,189
1.5879e+08,155,658,3466,246,1790,276,1091,1790,687,2818
1.6612e+08,374,54,2224,294,191,1035,1335,503,1633,3042
1.7766e+08,1431,2607,2999,915,2436,2652,2864,3429,821,4158
2.2572e+08,806,598,5455,1101,751,3193,278,2166,1425,3646
2.8816e+08,564,840,5542,3237,558,4323,5973,698,2608,684
4.0111e+08,711,105,1074,490,256,3194,227,140,793,2874
4.0673e+08,164,564,1574,296,1338,36,52,1238,1756,46
0,-5754,5746,-5752,-5753,5745,5747,5745,5746,-5753,5746
1.1606e+08,718,755,1974,562,579,1747,3736,899,988,799
5.9781e+07,1331,134,2074,417,408,625,1106,2469,2313,4508
1.2806e+08,1490,4962,2209,73,6337,2899,2589,2618,3322,4647
1.3164e+08,660,733,2821,456,843,1468,2894,1061,3722,2555
1.5633e+08,383,645,2690,809,906,2149,4406,2169,1637,588
1.5634e+08,728,287,6349,1054,234,3038,2251,2354,1433,3916
1.5961e+08,634,1581,3147,754,2146,2599,2427,2471,756,4115
1.6517e+08,1103,953,2115,575,2141,2037,3079,2113,925,2674
1.6923e+08,1122,868,2417,268,420,2185,2555,1794,1424,3035
1.7158e+08,490,250,5840,992,1357,1692,2814,2234,2340,4496
2.4007e+08,791,603,5463,2465,668,3604,469,1945,2347,1423
2.6639e+08,1243,87,1728,338,671,2623,914,1215,1375,3029
3.2401e+08,868,842,1786,518,315,1787,3571,762,1636,824
1,9426,9425,9425,-9819,-9818,-9819,-9818,5209,9820,9425
0,5868,5955,-5874,-5874,5955,5955,-5875,5954,5955,5954
8.0218e+07,-5219,2482,878,1291,2437,2697,4763,5260,5551,4090
1.3045e+08,772,289,2119,540,1085,1424,3066,1908,1037,2732
1.7072e+08,803,1935,2550,660,1703,1572,2775,1681,1028,4035
2.6849e+08,696,401,113,405,4604,1054,1213,2715,1466,2301
3.3048e+08,-147,-1165,2214,775,1542,790,2151,165,1930,-77
1.3789e+08,177,958,6347,478,1784,2694,3066,1994,3040,2875
1.3417e+08,188,720,6313,491,2341,1467,2908,1950,4314,3750
1.4212e+08,222,999,3156,550,2305,4264,2563,2472,4811,-264
3.1864e+08,265,442,5167,1843,765,1996,4642,896,2608,2313
1,9130,9215,9129,-9752,3452,3125,-9753,-9752,9754,9214
1.3949e+08,2153,2579,3338,553,2664,2960,1534,4356,2414,-667
2.687e+08,559,671,3347,2968,1151,2093,4993,1940,1899,2176
10,7194,5794,8603,-9150,3069,-2779,-8405,-4005,6624,6526
7,5869,3958,1852,-8509,2461,-823,-8820,724,6066,6036
6,6853,6051,-2504,-5924,5422,5869,-7024,3169,6886,6558
31,6200,3091,1680,-7939,3857,5353,-7797,1300,6835,6765
1,6333,8470,4751,-6270,5099,5403,-7005,1799,8982,7023
6,6066,6165,2333,-7557,3612,3040,-7514,1740,6839,6462
0,6345,8474,4767,-6281,5115,5417,-7014,1763,8985,7032
26,1289,273,1274,-2979,1586,1821,-2296,165,6161,5736
15,2363,5247,2636,-7198,1808,1718,-7471,-2899,6303,5834
2.706e+08,-796,668,4417,468,1376,3632,3096,1575,4557,1361
2.687e+08,560,670,3347,2968,1152,2093,4994,1941,1898,2177
1.0576e+06,3539,3324,4580,-684,3425,4553,1054,4268,5016,6397
1.0065e+08,-1205,4139,2131,-257,5345,3367,-1917,3439,3723,4384
2.597e+08,-3641,3551,269,5662,3071,2884,1183,3325,-818,2693
5.4272e+05,2796,5280,3799,-6747,4250,5184,1409,2265,6723,8125
1.3369e+08,725,152,3123,441,851,1364,3105,1980,1551,3249
1,454,249,884,-1894,1173,1537,38,133,2692,5012
4.0151e+08,716,100,1078,495,250,3186,232,145,798,2877
13,3137,1091,2193,-8038,8046,3309,4443,235,5227,6918
0,9451,9770,7708,6041,9264,9309,7435,7255,9848,9553
2.6724e+08,-1570,2117,678,1625,2764,1518,1449,1031,745,232
4,8219,8508,5858,4275,7958,7740,3994,6669,5892,6849
6,3964,9499,4687,4001,8265,6553,6430,4437,5529,7111
12,3374,6056,1209,-2728,2912,5447,183,1119,3727,6378
112,4534,9462,8342,1683,5571,6230,6661,7535,9835,9550
